id	rmsd	centroid_dist	cys_sg_z	pass_7A
A0A067DE75	5.6461	4.369	-1.988	1
A0A067DT54	3.8510	3.337	5.757	1
A0A067E1K2	6.2952	1.966	5.473	1
A0A067ELB0	4.4699	3.449	2.221	1
A0A067F4I6	7.2078	3.427	1.330	0
A0A067GFT7	7.4634	4.577	-0.423	0
A0A068Q5V6	7.2938	2.330	5.603	0
A0A068Q609	8.0543	4.236	4.759	0
A0A068Q6L2	6.3687	4.012	5.421	1
A0A068Q721	6.1785	5.326	6.102	1
A0A0B4L1W8	5.8535	8.233	1.102	1
A0A0C5Q4Y6	7.5984	6.242	-1.738	0
A0A0N7F297	5.0335	3.570	6.803	1
A0A0N9HT29	4.6741	2.509	3.918	1
A0A0N9HTU1	3.2264	3.508	6.199	1
A0A0S1TP26	10.2702	3.067	0.065	0
A0A0S1TQ04	3.5884	4.618	3.903	1
A0A0S2IHL2	11.2811	2.524	-5.625	0
A0A0S2II38	4.3399	5.478	3.686	1
A0A0U2U8U5	5.0035	2.668	4.870	1
A0A0Y0GRS3	7.5828	6.580	-0.960	0
A0A125QZE2	5.7144	3.432	4.969	1
A0A140JWM8	6.8490	3.751	5.049	1
A0A159AKG3	4.2909	3.390	5.793	1
A0A161GJD5	5.8593	3.692	5.382	1
A0A165U5Z9	6.2830	4.881	5.603	1
A0A1D6F9Y9	4.8929	3.756	6.128	1
A0A1D6GQ67	4.7811	4.471	5.341	1
A0A1D6HSP4	4.8574	2.591	5.656	1
A0A1D8QMD1	4.3425	3.123	4.951	1
A0A1D8QMD2	4.7114	2.491	3.436	1
A0A1D8QMG4	4.2020	4.318	3.506	1
A0A1I9Q5Z0	4.7120	7.782	-1.308	1
A0A1Z3GBS4	5.2641	6.194	-3.795	1
A0A2H4DGV8	4.4385	2.236	2.156	1
A0A2Z5D850	4.9269	3.451	4.477	1
A0A2Z5D852	5.0279	3.589	4.064	1
A0A2Z5D854	4.9881	3.709	6.065	1
A0A3Q7HBJ5	5.9336	4.536	3.464	1
A0A3Q7HS74	5.3426	3.469	-4.852	1
A0A3Q9R4N5	4.5550	1.356	1.010	1
A0A481NR20	6.9833	2.687	-1.141	1
A0A4D6Q414	4.0031	3.801	3.003	1
A0A4D6Q415	4.5414	3.081	5.327	1
A0A5B8NBK9	6.7305	3.474	-1.815	1
A0A5B8ND22	6.3353	3.448	4.710	1
A0A5B8NEF2	7.8705	2.498	-0.300	0
A0A7T9QPT0	5.2640	3.931	2.577	1
A0A804M4E3	6.3053	7.685	6.296	1
A1YJE3	5.2855	3.243	4.186	1
A2WLP4	5.3031	4.296	-2.198	1
A2WS96	6.8082	5.030	0.604	1
A2Z212	5.3530	2.970	1.157	1
A3A871	3.1304	2.351	-1.589	1
A5BFI4	5.2476	8.461	1.261	1
A6YIH8	4.6595	3.347	4.028	1
A8CDR5	8.8379	3.158	5.880	0
B1NF18	4.9022	3.773	4.155	1
B1NF19	6.5868	6.162	5.318	1
B1NF20	3.7815	3.928	5.827	1
B3RFJ6	4.3180	1.921	-4.374	1
